flawed,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
0,0.5196431214774911,0.4426153683252395,0.343702905535373,0.5405895268636186,4849,3901.5509787778883,6.8053299064344985,6.88286787180876,2,6,0,9,4,39,58,78,14,2,82,32,3,96,75,1397.963985039546,532.317684432957,8.218455290672944
1,0.5029578756168842,0.4292014074789015,0.24311863549896476,0.7605144312325007,8637,6542.09119947451,2.797948667927089,4.672619598497064,4,5,3,8,2,41,18,19,32,87,42,13,5,27,32,906.3278215092183,1160.5530120664125,3.113954458923207
0,0.5620627276800431,0.4450512555820387,0.1353205441837872,0.4555338590685118,5626,4960.948784796599,6.2442749862239255,5.133775763014852,4,8,6,0,6,66,76,89,87,76,67,47,8,38,69,1487.422135822398,405.307351259714,499.01271302491676
0,0.36440080740169417,,0.7268956546654948,0.6191658739940177,4405,3894.57022391576,4.965712738494723,6.407956627678558,0,4,3,9,3,22,55,99,84,22,45,3,10,38,86,1118.158097729339,1159.4924728302035,71.27574209078314
0,0.7393223758054743,,0.8504552962134198,0.7675681988375331,1712,3165.1358921997,7.143831354637427,4.773198961867204,0,5,6,8,9,97,27,62,78,63,71,15,95,3,82,1350.2051137072845,1070.2966159989628,270.14419970821666
1,0.3716293306405842,,0.3005081517500438,0.6396723702508754,9287,7261.7774942627175,4.382770751354278,5.464026583907149,8,6,1,7,7,98,91,82,79,17,34,8,71,89,8,1183.1636679718094,1285.2226215766364,455.31663248780603
1,0.4565147074113259,0.2985245161419116,0.1343464712745493,0.2297640285616191,3741,8847.216137948417,3.9030986938831655,3.3754147444947677,1,3,3,2,1,99,47,19,71,28,95,10,25,73,20,779.5725257302635,959.9827307602075,35.16921140930685
0,0.6418120620954642,0.3817154749486392,0.31262829070025844,0.5479086925061866,4092,5405.378741384521,6.3774776149992665,6.168101119259066,1,4,6,3,4,63,66,87,89,92,54,5,45,66,70,872.7032583482304,996.4045947193152,1138.0166485217915
0,0.6547125217142563,0.40612614542271497,0.6815792673415053,0.7591703307368792,6578,6893.869641912203,7.95659472435764,4.027742000901982,3,3,3,1,9,43,31,81,79,6,25,33,0,89,2,718.9684822455918,444.6390622888584,863.1154964254443
0,0.8206687950428433,0.32108725860130616,0.5778627857634748,0.4627337564569731,1914,3199.6967946892723,8.93122943707538,4.995436571570197,3,6,1,3,0,78,77,25,46,16,18,90,94,74,17,76.1185418111629,123.41066305128018,988.7090820689816
0,0.5856761528857536,0.2341633536160405,0.3969089576655884,0.6030584468635327,2589,6376.279810127516,7.496834231229488,8.307506307173046,4,2,5,9,9,8,30,43,69,55,16,79,94,18,55,1146.333520667144,1233.854426846007,526.4312849321335
0,0.4444406819289069,0.4941124518075726,0.6497543581662977,0.5251643053529369,3544,8598.278744303152,4.453380387698169,6.7432606148966485,4,7,4,7,9,55,13,68,85,20,35,87,56,70,59,1412.3370842547668,407.6636427096151,207.7053401521619
0,0.5429791305620923,0.6193529072702866,0.3920929274715164,0.6495051546950468,2330,4549.655681923774,5.658627609816352,6.16938362986116,4,6,8,5,9,6,40,57,28,28,35,64,89,49,4,306.1462363117124,179.90784944582833,547.3269959698428
0,0.5118243611329742,0.4580457590261128,0.21446685962545736,0.4761405318547062,3960,2000.5850707030966,3.8623826567873576,4.015969335257504,5,5,0,8,4,91,24,0,89,4,31,52,64,58,31,43.43414360165554,1381.745838107163,1274.6513429920703
1,0.5366860903374451,0.8431190057274196,0.7597008606036562,0.3646240371999445,7919,3484.605872366411,3.9970468209193255,2.3954602423640767,6,6,4,0,2,42,97,20,95,23,48,43,8,89,79,331.40364921881826,191.85948288300736,638.2179227129939
1,0.4664507869807804,0.37651973324310223,0.27043212269311834,0.43118126929835177,8364,6862.9924509802,4.487772928676359,4.482356238445424,4,7,0,8,3,55,5,54,9,2,53,45,16,58,99,707.4298077935225,632.0318042695073,579.3166018033888
0,0.7977845957433745,0.6680777389235043,0.35873815809400217,0.3772800297503331,5027,4754.948359350614,5.3682743085069875,4.713058700969407,3,5,0,3,9,15,20,4,86,36,96,2,70,47,41,1253.3088174115492,1361.4159831931279,852.0994833777385
0,0.4537335108112212,0.6964516194951074,0.22364681920534785,0.3647860583006208,5242,4369.175220002294,7.164386882549228,5.067452899302039,3,4,8,5,1,93,29,24,61,84,67,61,12,45,3,416.83406126651033,818.493257080657,429.54830629283
0,0.7952432266408774,0.2991425685935513,0.7631197434598147,0.7432550642580511,6426,4898.556466036951,8.124419150875426,5.231313411536613,2,6,9,2,7,86,16,86,81,23,10,8,74,35,52,1092.603411396971,1478.1089280704318,184.04424355514644
1,0.26885766660676663,0.3427452281434213,0.4708561829094814,0.7371073302283729,8400,7158.8027347118295,6.833485064735856,7.176739402295016,2,5,6,2,7,46,50,97,83,47,0,35,44,46,88,892.2747910316966,1217.1498869992713,1159.2207862164228
0,0.6561313431937078,0.3213821489739092,0.4183971595510757,0.37265089971065,4057,7030.295231609651,6.932428543660272,6.222957579726613,3,6,7,0,2,53,76,70,25,84,82,31,7,55,17,200.88736772221688,364.22495285862686,1054.3413184526912
0,0.35459181235707005,0.39795237610615497,0.2963256427918368,0.7523826693535901,3172,3186.149595304177,4.914483968531661,4.2918592627305845,6,5,1,9,8,12,31,11,9,65,57,28,90,80,3,732.9947009817604,1476.7470006575695,1027.9581302489357
0,0.5696100116394114,0.020278151135801115,0.8108814066924104,0.647185307710175,2733,7955.737922031853,4.2290686575505845,6.611304066082503,5,2,0,7,2,12,6,86,72,68,15,74,24,18,70,955.1205993359036,599.606352656358,1457.3293927365376
1,0.6017141610263109,0.4990084396321238,0.4262095484393633,0.19144262863469927,5810,4114.648379839734,3.3389078161144234,4.311727983529549,5,3,6,3,6,89,84,98,26,56,5,53,33,1,13,620.5142242937743,1343.8113194824653,1042.1496329707238
0,0.4260181250275984,0.2658828590982959,0.1936621708252907,0.6629671779251674,4899,3468.9095433186967,4.774298711917593,5.5330891246028875,1,7,7,2,8,21,11,57,89,60,23,92,46,93,70,231.75114757051458,815.1331394233956,703.3096407178718
0,0.30388676970414424,0.6249919726707028,0.449288800165346,0.5145871070815791,5918,6228.912388716959,5.971726784816692,5.433463537000812,3,2,7,6,5,13,86,6,98,12,73,84,46,84,93,390.58008491608615,1261.3030314033772,602.1449686620887
1,0.610199415828689,0.6598474322443125,0.18513933278497932,0.4057136248808043,5670,7117.807895452695,5.4032637325161215,5.58039084105981,6,8,8,5,2,99,66,74,9,5,85,30,5,75,90,1469.173999212133,349.4824968256887,742.3470059497095
0,0.4737641326195829,0.3715133107481681,0.5147650892198117,0.6179400268842548,5281,7579.49705657375,6.515314469373835,4.581509415606412,5,1,0,8,0,86,3,14,17,75,98,90,0,67,9,1079.1242570182362,1314.7414913928017,145.78394212322698
0,0.37695645343136414,0.4498667815909616,0.19560205222528335,0.4615479920741354,4918,762.1473456978737,5.1452685319275915,4.5036232367872975,3,6,0,9,8,38,51,9,69,46,82,23,44,36,61,173.45776252071425,779.4975488791921,1366.8034838377534
0,0.5450488707980733,0.4326106306888768,0.26392443451900305,0.2465883488142949,5671,3293.279748588089,6.177248359470915,4.8246348941350945,3,6,7,1,5,0,79,98,11,39,21,24,16,94,17,1248.6739035000826,243.26580739520048,1068.0350836776622
0,0.8704201800075965,0.5745630370468995,0.4354224994290285,0.5260840694771041,5411,6458.426339669877,7.2014814653110975,7.722604613347963,3,5,3,3,8,82,80,93,86,68,82,73,38,44,57,700.1297436681225,1126.339259029118,1049.7211044099477
0,0.5395046524945093,0.37900923489231453,0.8854332756014862,0.8197536840394786,5521,5294.824272494236,4.643238661020203,6.270390774920004,7,2,5,9,6,5,37,41,81,82,14,38,8,49,89,1000.9413698388287,673.0925227561884,260.89488494445476
0,0.5894611456860053,0.4270879170085689,0.4834173962056666,0.7941182029110845,5378,3088.2592677553084,5.083456066054387,5.3951382197040685,3,5,5,0,7,67,28,11,48,10,49,41,1,94,31,1468.832039500504,181.5394979589212,334.43274010361887
0,0.7284006673355341,0.4514216139624405,0.5098687308557074,0.5702664650642251,6652,7764.989830743109,5.7425892161849115,5.987635854788175,4,5,5,2,3,45,41,52,20,97,18,29,80,66,72,575.4842097520009,639.4719220451245,338.7216536301849
0,0.6200218098871076,0.15056188311941904,0.03080871204602137,0.27527076985529353,4652,3348.7939748860213,3.6682775046612734,2.416300079273618,2,4,8,9,4,61,20,44,48,78,94,61,99,62,75,615.4813838296918,853.6493122902184,949.9686394189403
1,0.6299037599271474,0.5717575652013808,0.3436061813812698,0.6682378242928555,5596,4992.73214291188,7.608831924444574,5.3717359976760415,0,4,6,0,9,52,50,66,97,47,26,25,9,38,4,722.2558329764274,665.4852873074575,827.6581566204424
1,0.5294957429270413,0.5260796402827367,0.34793934725228964,0.7247656858073969,5781,7126.0631205998525,7.037360716465386,6.02299557909055,5,5,2,2,0,60,75,41,66,53,71,96,4,3,39,217.27462263821275,1146.767076962177,844.2297935424656
0,0.3610295659274004,0.409125402957234,0.4994837539180667,0.3234793241916173,3800,5063.472985948655,4.641023868584205,7.582804979006501,5,7,7,4,8,74,45,42,91,85,28,31,5,46,73,455.1553109885631,1344.070276677549,418.97237971916485
0,0.5778847738415529,0.2644173284696505,0.12969414710597288,0.5789193972867099,5360,4004.5650147828446,5.14103659815433,7.027744655989907,6,4,7,0,4,27,67,38,20,67,19,98,78,65,5,852.190369384091,259.46511782677436,307.4923485233928
0,0.18042292026678208,0.3604478431346488,0.4948135563478696,0.4086350353643717,5436,6280.262144278927,2.637052666484977,7.6272020954636375,8,3,0,2,6,1,82,4,80,23,68,53,36,22,47,1433.3616187656287,180.74986115476676,1146.639788244902
0,0.6157932519396849,0.3760921855316688,0.7956258282097978,0.7685128014122528,4988,5054.964967487372,6.418914027559635,5.472167727501558,7,6,3,6,6,86,14,37,36,86,62,56,19,11,75,1032.6820421483194,81.05363381757691,512.1253224768151
1,0.44956834533828105,0.2312483731298453,0.48678177366510206,0.5694476892068847,8155,5752.25012570352,7.22792753405456,7.274919302746468,5,3,1,9,0,47,46,51,43,47,83,60,63,40,47,371.735810382142,452.29007808048647,824.9626492284019
0,0.4542343838826074,0.5620070151773108,0.3117071818052163,0.4116764237054981,2888,2195.9567261869406,6.444220548147296,7.22116637745959,3,5,4,4,5,54,64,12,8,37,51,20,10,21,82,588.5159237260254,1044.0200938480036,811.811297390409
0,0.7398382195819606,0.5410691199748043,0.4645630235531397,0.4649044606331126,4730,6006.523235879624,7.0855411790137355,5.880167399588092,5,6,2,4,7,76,23,6,28,94,22,63,90,75,17,1220.0996571671037,489.83139312027237,946.5423358065401
0,0.51713804887032,0.3660349474531805,0.4523875529162866,0.6258989115934298,3920,1541.5072328889496,4.599567536550121,4.4105565033600085,3,6,5,1,1,46,90,63,91,79,8,4,31,14,97,750.6632399928272,503.3828430741167,1338.1569570334166
0,0.7142550483322193,0.6484562482620281,0.4133448679819328,0.6966066795185684,5753,4228.625757042626,4.948919376211023,5.571315830254785,5,8,8,8,7,22,15,30,63,7,36,36,71,22,54,554.5249199632175,1422.1260937948568,290.86515445749234
0,0.6024841755643485,0.5483401585088987,0.6539655721720614,0.6206685266488345,4668,5984.997638858149,5.827321552770709,5.792627388958079,3,6,0,3,7,90,71,72,18,79,99,74,29,44,53,499.60290747234467,1270.5637290841892,976.3808783361211
1,0.7650244383833195,0.4801476837325186,0.2644295003238557,0.08516235297950643,5489,4561.716010991862,6.679110479603945,4.157398417293753,2,5,9,1,2,63,85,71,57,98,98,25,6,8,36,173.06282293195287,831.8813531565008,269.32298239681694
0,0.3463457959303207,0.4279918281235319,0.19294009992318126,0.5867254099888491,3586,2551.1098256077616,5.036628681431921,5.860045656073611,3,6,9,8,7,89,45,53,73,68,1,83,69,76,13,1103.539042185822,1354.2339624694266,882.4759219673725
0,0.5657930325105646,0.28549297688845804,0.5502956734643287,0.5054649386650819,4707,4703.261476301322,6.667613022417651,6.059132368747218,4,4,9,9,9,73,41,24,80,73,22,75,29,78,79,985.9616942284136,1391.9234841160996,735.9827795059613
0,0.5674189517310451,0.15432397953651789,0.572520827416805,0.5502081283793169,6664,3462.789927768815,8.304506015878479,4.6954671569275614,3,3,2,9,9,61,30,37,69,42,71,79,48,34,51,1041.6524074539616,562.3169319828771,1110.0714404575888
1,0.5543140879860577,0.4136189184470308,0.4094779037579712,0.3518502716678065,6769,7159.272568326207,7.1178805622697165,5.85766993136644,5,6,9,8,3,33,6,52,18,46,18,86,6,6,53,71.84884630205774,1016.9320831353763,923.3002823227289
0,1.0,0.4766239002461205,0.8060970852588933,0.7000556657436665,5979,4216.112425351521,9.840536887491098,4.758475842406661,5,8,0,7,8,69,54,21,67,97,64,74,10,46,0,558.4319582771053,906.3508389550584,673.9518034047859
0,0.5117934467807952,0.2768503679613313,0.7020245012489243,0.6493589120306238,5212,5162.781484883022,5.418771518975318,6.079033109508384,4,7,1,5,5,17,18,17,12,91,23,30,87,19,51,1453.0930266934818,1241.3385003395567,51.709977683439604
0,0.4883721601272805,0.2788363169815271,0.12181372487914872,0.4368167133963831,3526,3855.4832652230425,4.073648304619809,3.714379495670832,4,5,5,0,5,91,80,34,20,57,60,90,72,19,90,1039.6150595302474,516.235370412369,1224.0797093623326
0,0.9243424723721,,0.478402535450115,0.7235212667986805,3246,5643.254526732951,4.5270744443755415,7.783188541408348,3,6,0,5,9,39,86,41,86,88,4,67,16,15,58,358.8364982677211,1408.3967102719216,110.69858628520707
1,0.6536736281564157,,0.34311462146094,0.23582576737327396,6865,4869.75268303675,6.9204228950132025,5.270543239934119,4,3,1,7,7,14,23,12,29,31,61,55,13,42,11,771.5078532058272,217.54657845621873,523.5286465444527
1,0.3638919649019884,,0.3615965358380925,0.21137910614213626,5282,4519.4095209796915,0.9889158259470759,5.071861199572488,4,6,3,4,9,73,49,16,23,16,31,22,41,46,66,803.3413398274499,1278.055351768494,837.7540744761949
1,0.6757977927690656,,0.7482388198329648,0.2701072779267023,8342,2104.3955206753353,4.081101603035302,3.494054160163142,1,6,8,0,3,40,53,77,4,26,12,7,60,45,29,286.28384542300336,516.6768765444034,1291.787470953157
0,0.5155479559299454,,0.4164210500498188,0.4847562600713006,3521,1481.5654768070535,5.877653563823955,5.787341609167062,2,6,6,2,9,56,53,51,38,83,87,1,8,92,2,908.0045237937242,58.54129518762047,484.91962850638134
0,0.4284690355108679,,0.2250698904068642,0.6120805501604821,5364,4602.1488212158,6.282412208554582,7.5032942117148735,6,6,2,9,0,40,4,28,62,99,35,31,14,60,49,1200.476443212535,1062.8836454728812,1436.5035528897545
1,0.6050185831914024,,0.4412724209855781,0.11204300138807977,6274,3723.561939608706,1.9853737317137747,4.977868553425155,4,5,3,5,3,74,88,3,78,4,90,18,32,60,0,998.1931876590318,625.6578083885954,531.3350464503824
0,0.358084426783266,,0.4720351779658824,0.44433152220914796,4653,7459.150127523217,4.294098120920595,7.275283599795678,3,4,5,4,5,5,62,34,98,37,61,50,14,22,55,48.52977805470171,117.13251224179105,350.0162455854633
1,0.6860265433620593,,0.6301042212931145,0.2297074814236205,6734,3587.916070951315,4.118178214625337,2.9756227789658825,3,5,0,0,8,29,27,61,59,95,5,18,59,30,20,516.6567421311026,198.66778997180762,491.7848015900687
1,0.5262263830459761,,0.21549404235974826,0.5880306187169033,6593,8833.793699824428,4.228854159852868,3.87870307063486,1,5,1,2,5,84,98,74,58,7,28,24,47,32,60,58.749091022397174,1485.3389414387839,684.8718563888959
0,0.6556943626057501,,0.7120637330716313,0.6016252428633181,1003,10000.0,3.586052288612085,7.4090672822777215,5,5,0,7,5,14,21,16,77,22,25,86,11,70,22,420.2004566497925,789.3000289803788,1272.493544607086
1,0.6159045940458333,,0.8667737997151728,0.15971235799976727,9923,1777.7991521589224,3.4471096119882194,4.703126539256307,4,3,9,5,3,19,85,78,76,65,8,8,80,81,35,173.3095840886596,1275.306936378016,288.1220976289338
1,0.4437280798063643,,0.3182032596794464,0.6566480354040113,7971,6247.1078485108155,4.914326015409149,6.817709971290825,3,5,5,2,9,66,16,59,1,52,96,84,44,71,52,1449.378168349584,101.20520162393592,572.1512549437499
0,0.3340255280046906,0.2702774289170741,0.3018069303504369,0.8576076120341534,2928,4950.357773907891,5.809736095813509,7.895434940742849,3,6,2,4,9,34,40,31,10,8,89,18,98,49,69,87.02389451465665,1464.0261532249629,562.4234959280907
0,0.3038284453260285,0.16809669912318212,0.6590733714810098,0.5452898582676615,909,6498.22845105932,1.6551866503065449,7.9997480701747525,2,5,6,4,0,10,76,73,19,15,24,28,35,72,27,1368.746068142036,672.182650909854,637.9784971442235
0,0.4231644612870894,0.4891289677593633,0.4158593184849648,0.6085688033951093,4283,3781.968752706499,7.199288367648545,7.529781069006332,3,4,9,8,3,38,93,70,32,60,83,72,38,81,61,651.3072295194241,984.2527572476396,1364.5836529320843
0,0.4542399323531663,0.4223895293422751,0.14683176525999958,0.5983442384574029,4036,3162.076246501592,4.8143961852405015,5.543182167075707,3,5,5,8,1,59,35,77,53,21,37,42,91,18,93,708.687372745947,617.9144027834373,734.5528348106426
0,0.7326072878146535,0.4534978559593533,0.8903909560447034,0.620254396885522,2573,4826.921017757863,4.091331389499492,7.496220905246384,2,6,6,8,6,42,21,35,93,14,47,60,48,19,39,128.2722332247313,806.5702372869979,1270.0764451309697
0,0.3316089655715265,0.358471300692359,0.1943169578300853,0.4325611031384606,5826,1529.5237090715655,5.222823269945369,2.8802528426508216,4,7,0,8,2,75,41,26,43,7,72,5,91,6,18,947.4586797918608,1191.980793331869,92.69809061120287
0,0.3659752661848309,0.7006011022941511,0.4690997568735291,0.5576762839228291,4511,8485.965291330587,5.446825412886187,5.359753986422263,4,2,1,3,6,49,2,32,31,77,44,58,59,94,53,797.1763963650874,692.9678634343452,1238.4573998803608
1,0.5347751192860892,0.5094206114351093,0.06702139037273698,0.11233868203962016,5933,5639.526593283031,6.045358129628072,3.918626426964407,4,5,8,0,8,44,5,29,97,32,86,80,45,66,11,815.2828238301802,1403.8124419221172,694.1280803615426
0,0.2441749360620429,0.34945699961083154,0.0,0.5316096028947156,6196,2320.520880399777,5.649645869342406,7.134566804403713,6,5,8,0,6,69,80,0,92,68,19,1,66,38,89,137.87686727871562,416.2752249786537,286.662628284753
0,0.4522052666141772,0.4499305307931339,0.2925494582495052,0.635970703409342,3566,2606.7126605932167,4.554932674437109,6.104379017337212,10,6,2,8,7,15,14,95,50,67,85,8,14,85,3,730.4303012472966,377.3657382207117,207.9249517968148
0,0.6661131125876562,0.6700123496933209,0.6486220025425286,0.4546473238338372,2096,4298.18408805585,4.952613668399576,7.776725708032508,2,5,2,4,3,9,82,23,77,32,15,85,48,27,14,644.5819873140758,1349.45196460256,674.8441748186947
0,0.5002644066691047,0.4971716018360763,0.4892143974110542,0.7251984534318678,2113,3279.7259636060217,6.258682906854999,6.256825009424384,3,7,6,3,6,41,29,54,7,95,99,78,2,4,78,1158.3067267383328,1422.2263495570676,864.839491009108
0,0.4714587616354541,0.4208808952631536,0.5813948886636247,0.5793871352398311,4416,6946.798980416344,5.973001175863665,5.697251625442995,3,7,2,2,2,48,68,23,74,29,5,67,40,53,0,1172.1804464381548,1409.4143328282532,1016.7746065446483
0,0.393907968713218,0.5274005516342596,0.5438168108098378,0.3763540804691594,4051,7044.018339261852,3.8591901065071097,7.654674515063957,2,6,8,3,3,80,58,38,81,22,43,26,49,72,33,1395.5423592532363,30.34223987415058,31.88505195324559
0,0.5339898161791953,0.4587997291693139,0.3221335965688875,0.8203070045895355,4743,6038.590198487383,6.082806338308433,7.46313305918883,4,8,7,2,9,56,19,66,0,69,7,72,32,51,1,1186.941888633101,132.46767061206833,1412.4121714297162
0,0.32909476608223925,0.3543120779522867,0.16190342744930902,0.3706882671998544,6286,1633.0683791089425,5.727504872619793,3.502940115260728,4,5,0,8,6,48,73,44,98,27,50,50,87,77,98,71.33178775254268,404.5376209489492,1128.4928888715303
0,0.3404840988147465,0.2987376894702526,0.5292464882275417,0.5483912702148779,7122,6462.76728023918,5.393877870168314,5.481828700772134,5,4,3,4,4,22,56,60,72,36,40,86,44,97,86,397.7819065988098,122.55971290547524,1407.1023580041222
0,0.6542358007058522,0.5204949360209323,0.6440765213882345,0.5041703542530738,4728,3831.3302277146727,7.031441085400621,6.5326505450848575,5,6,4,4,5,26,37,88,63,99,31,60,31,58,99,1159.9959400109276,219.2787596681901,685.3573424507708
0,0.4482774016378224,0.6054872580764552,0.5735757846749788,0.5605101430672681,4053,7123.684974684477,4.158045372628032,6.282650571353258,5,1,5,9,3,68,23,6,52,15,64,97,69,46,35,89.58019088064128,1070.1275768444955,273.721711094518
1,0.5407187821454329,0.20332752027179965,0.2263572121066313,0.6922852837108491,7777,4871.717637234498,4.447027937174323,6.819958678503097,1,4,9,5,0,90,73,6,97,20,50,63,18,84,70,528.8072692375748,774.2058277292437,513.0517765478058
0,0.591082605005714,0.3234730519698204,0.5628792922095911,0.5482530589311198,2785,7280.049590423149,3.5323492200541717,7.3183589030798,2,4,9,6,8,26,42,25,92,82,84,3,1,54,74,847.9494767461143,511.7325053571229,506.67991563070547
0,0.7255826652746614,0.4430050985123039,0.6958744754228567,0.6116774775154543,6081,3477.230357572293,7.993019555572692,5.231588595010832,5,3,5,3,1,76,32,71,64,98,57,7,90,38,29,1279.366359965343,760.4772683316162,38.168569774311045
0,0.6248832076710958,0.2667977890064747,0.3270635527000304,0.42529327915212,4903,3796.152832852608,6.135647623665997,6.482205216188768,4,4,3,2,5,83,3,54,18,4,86,41,25,20,66,987.1642122417315,849.334459536905,259.58143154377876
0,0.698851331880958,0.4408547783241248,0.4319425200781454,0.5605086086875828,5483,5462.445586962821,7.480283928626458,6.622125345617558,9,7,3,8,2,13,65,10,28,48,65,64,79,29,22,498.96201300281666,107.60880733295191,661.478519291758
0,0.7555892930002799,0.3795814385347257,0.4650838542346907,0.5231874791487405,5080,4638.991227280631,7.416966184902383,6.879397191600555,4,8,0,3,5,50,60,84,20,73,35,21,77,26,26,660.888295036183,690.0472118799306,948.7990072414105
0,0.6687061744526431,0.21035907862899866,0.449596545306976,0.4092177434034572,5850,7516.982783852196,5.4994516590902816,7.359986134789766,5,4,1,6,2,32,83,33,77,37,68,66,72,15,93,100.79981985574487,311.33765865622956,245.770622080077
0,0.7155626450141926,0.2830119843857133,0.4223072824251809,0.7623388476382307,3640,3868.7047179272527,4.08137877086325,6.602672174393888,7,4,9,6,5,52,80,61,23,61,89,96,58,28,44,392.9819463629782,880.7190646889851,736.1296870281245
1,0.6077851408856161,0.6755750003100365,0.8006245525893253,0.14723475620071136,8962,4165.540933065092,5.66567205400836,3.697963910629423,1,1,6,5,9,52,57,46,73,24,32,81,75,69,89,1028.7274900358082,448.0830001829642,1434.1081893489022
0,0.5433868647871152,0.5100946623942827,0.6187106550909042,0.5466733567662153,4928,5078.306677730472,5.559690574643301,6.012827552140305,5,5,4,6,2,26,43,66,36,86,14,46,96,64,44,1108.8468575959116,384.51602969772915,1163.4029098074495
0,0.5893790986989524,0.5378682107236405,0.17060947925473435,0.3513613805538832,6445,3520.032424166133,6.2483706750752805,7.050717560735422,4,6,0,7,6,6,53,93,32,27,19,19,94,50,62,1449.3171446603476,87.30892700400905,1040.806018531609
0,0.4240450492150457,0.8122359840919228,0.6912474619152972,0.4780682542277727,1722,6125.993948287573,2.8405209896225703,8.073158858315388,4,2,0,5,8,45,70,9,83,50,93,8,43,95,37,1012.5001017231616,1229.8523702440532,1280.0972310157474
0,0.2795641023952108,0.3923230284302104,0.3909066143578802,0.6981584103156575,2518,1733.3401418066805,4.8732071390275165,5.111846889807369,1,4,8,7,9,62,3,38,6,3,39,13,31,25,68,1071.754182196055,844.1700697406815,1477.2718545534294
0,0.2960545957037465,0.3980417896930116,0.19507183403961856,0.4517224926039632,4586,4898.687859441198,8.839929355270462,7.7848527309765645,4,3,2,7,1,29,69,16,27,31,37,84,52,63,48,708.7405360493631,990.4072327347163,1085.6916845041335
0,0.4561710428800796,0.5432736185676288,0.35992724278146804,0.3235146223257487,5109,4557.023468919265,9.291799076318457,8.229459807847425,6,7,6,1,0,67,29,3,46,6,87,44,96,76,77,180.2893165959642,699.4952621290988,1354.6738805924408
1,0.556830498384888,0.5132481821562436,0.5253323297308424,0.24570321653526814,6681,3111.467158450634,2.463787225924878,4.288900433908212,4,3,1,9,3,8,1,33,23,25,40,16,72,89,15,943.9152046188506,626.9506935711526,642.8472227733358
